# Running on nid01410
# DAINT config selected
# There are 2 sockets, 2 NUMA domains, 36 cores, 72 pus
# NB. to kill spawned tasks try 
# for a in {1..100}; do psu -lf | grep future_overhead_test | awk '{print $4}' | xargs kill -9 ; done

# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --test-all --futures=500000 --delay-iterations=0 --hpx:queuing=shared-priority --hpx:numa-sensitive --hpx:threads=1 --hpx:bind=balanced --csv --info=none

500000,                       apply,     Sliding-Sem, thread_pool_executor, 0.540375, 1.080750,               static,    0,    1,                 none
500000,                    for_loop,             par,  parallel_executor, 0.854012, 1.708024,               static,    0,    1,                 none
500000,                    for_loop,             par, parallel_executor_aggregated, 0.745676, 1.491352,               static,    0,    1,                 none
500000,                    for_loop,             par, thread_pool_executor, 0.713234, 1.426468,               static,    0,    1,                 none
500000,                    for_loop,             par, thread_pool_executor_nostack, 0.549316, 1.098632,               static,    0,    1,                 none
500000,               register_work,           latch,               none, 0.543040, 1.086081,               static,    0,    1,                 none
500000,               create_thread,           latch,               none, 0.538218, 1.076437,               static,    0,    1,                 none
500000,          apply_hierarchical,           latch,  parallel_executor, 0.536514, 1.073028,               static,    0,    1,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --test-all --futures=500000 --delay-iterations=0 --hpx:queuing=static-priority --hpx:numa-sensitive --hpx:threads=1 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.507247, 1.014495,      static-priority,    1,    1,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.496171, 0.992342,      static-priority,    1,    1,                 none
500000,                       apply,   limiting-Exec, thread_pool_executor, 0.473169, 0.946339,      static-priority,    1,    1,                 none
500000,                      action,        WaitEach,        no-executor, 0.705978, 1.411956,      static-priority,    1,    1,                 none
500000,                      action,         WaitAll,        no-executor, 0.621593, 1.243186,      static-priority,    1,    1,                 none
500000,                       async,        WaitEach,  parallel_executor, 0.621858, 1.243716,      static-priority,    1,    1,                 none
500000,                       async,        WaitEach, thread_pool_executor, 0.617704, 1.235408,      static-priority,    1,    1,                 none
500000,                       async,         WaitAll,  parallel_executor, 0.575608, 1.151215,      static-priority,    1,    1,                 none
500000,                       async,         WaitAll, thread_pool_executor, 0.572711, 1.145422,      static-priority,    1,    1,                 none
500000,                       apply,     ThreadCount,  parallel_executor, 0.477503, 0.955006,      static-priority,    1,    1,                 none
500000,                       apply,     ThreadCount, thread_pool_executor, 0.468141, 0.936282,      static-priority,    1,    1,                 none
500000,                       apply,     Sliding-Sem,  parallel_executor, 0.552120, 1.104240,      static-priority,    1,    1,                 none
500000,                       apply,     Sliding-Sem, thread_pool_executor, 0.550606, 1.101211,      static-priority,    1,    1,                 none
500000,                    for_loop,             par,  parallel_executor, 0.810800, 1.621600,      static-priority,    1,    1,                 none
500000,                    for_loop,             par, parallel_executor_aggregated, 0.657383, 1.314766,      static-priority,    1,    1,                 none
500000,                    for_loop,             par, thread_pool_executor, 0.674595, 1.349190,      static-priority,    1,    1,                 none
500000,                    for_loop,             par, thread_pool_executor_nostack, 0.553908, 1.107816,      static-priority,    1,    1,                 none
500000,               register_work,           latch,               none, 0.486484, 0.972967,      static-priority,    1,    1,                 none
500000,               create_thread,           latch,               none, 0.481782, 0.963565,      static-priority,    1,    1,                 none
500000,          apply_hierarchical,           latch,  parallel_executor, 0.484127, 0.968255,      static-priority,    1,    1,                 none


# /apps/daint/UES/biddisco/build/hpx-release/bin/future_overhead_test -Ihpx.stacks.use_guard_pages=0 --test-all --futures=500000 --delay-iterations=0 --hpx:queuing=static-priority   --hpx:threads=1 --hpx:bind=balanced --csv --info=none

500000,                       apply,   limiting-Exec,  parallel_executor, 0.477965, 0.955930,      static-priority,    0,    1,                 none
500000,  create_thread_hierarchical,           latch,               none, 0.486609, 0.973217,      static-priority,    0,    1,                 none
500000,                       apply,   limiting-Exec, thread_pool_executor, 0.476165, 0.952330,      static-priority,    0,    1,                 none
500000,                      action,        WaitEach,        no-executor, 0.707803, 1.415606,      static-priority,    0,    1,                 none
500000,                      action,         WaitAll,        no-executor, 0.623864, 1.247728,      static-priority,    0,    1,                 none
500000,                       async,        WaitEach,  parallel_executor, 0.623804, 1.247608,      static-priority,    0,    1,                 none
500000,                       async,        WaitEach, thread_pool_executor, 0.620495, 1.240990,      static-priority,    0,    1,                 none
500000,                       async,         WaitAll,  parallel_executor, 0.578105, 1.156210,      static-priority,    0,    1,                 none
500000,                       async,         WaitAll, thread_pool_executor, 0.575129, 1.150258,      static-priority,    0,    1,                 none
500000,                       apply,     ThreadCount,  parallel_executor, 0.481084, 0.962168,      static-priority,    0,    1,                 none
500000,                       apply,     ThreadCount, thread_pool_executor, 0.469242, 0.938484,      static-priority,    0,    1,                 none
